name	male_count	female_count	overall_count	male_ratio	female_ratio	max_ratio	predominant_gender
anina	0.0	44.0	44.0	0.0	1.0	1.0	Female
anique	0.0	114.0	114.0	0.0	1.0	1.0	Female
anir	644.0	0.0	644.0	1.0	0.0	1.0	Male
anis	10435.0	62.0	10497.0	0.994093550538249	0.005906449461750976	0.994093550538249	Male
anisa	0.0	480.0	480.0	0.0	1.0	1.0	Female
anise	53.0	345.0	398.0	0.13316582914572864	0.8668341708542714	0.8668341708542714	Female
anish	80.0	0.0	80.0	1.0	0.0	1.0	Male
anisha	0.0	112.0	112.0	0.0	1.0	1.0	Female
anishka	0.0	21.0	21.0	0.0	1.0	1.0	Female
anisia	0.0	53.0	53.0	0.0	1.0	1.0	Female
aniss	1028.0	0.0	1028.0	1.0	0.0	1.0	Male
anissa	0.0	19360.0	19360.0	0.0	1.0	1.0	Female
anissah	0.0	52.0	52.0	0.0	1.0	1.0	Female
anissati	0.0	25.0	25.0	0.0	1.0	1.0	Female
anisse	738.0	0.0	738.0	1.0	0.0	1.0	Male
anissia	0.0	259.0	259.0	0.0	1.0	1.0	Female
anissya	0.0	37.0	37.0	0.0	1.0	1.0	Female
aniston	0.0	21.0	21.0	0.0	1.0	1.0	Female
anita	0.0	29763.0	29763.0	0.0	1.0	1.0	Female
anite	0.0	141.0	141.0	0.0	1.0	1.0	Female
anitha	0.0	105.0	105.0	0.0	1.0	1.0	Female
anitta	0.0	21.0	21.0	0.0	1.0	1.0	Female
aniya	0.0	132.0	132.0	0.0	1.0	1.0	Female
aniyah	0.0	27.0	27.0	0.0	1.0	1.0	Female
anja	0.0	342.0	342.0	0.0	1.0	1.0	Female
anjali	0.0	527.0	527.0	0.0	1.0	1.0	Female
anjalie	0.0	86.0	86.0	0.0	1.0	1.0	Female
anjaly	0.0	94.0	94.0	0.0	1.0	1.0	Female
anjana	0.0	70.0	70.0	0.0	1.0	1.0	Female
anjara	45.0	46.0	91.0	0.4945054945054945	0.5054945054945055	0.5054945054945055	Female
anjel	33.0	0.0	33.0	1.0	0.0	1.0	Male
anjela	0.0	73.0	73.0	0.0	1.0	1.0	Female
anjelina	0.0	28.0	28.0	0.0	1.0	1.0	Female
anjie	0.0	21.0	21.0	0.0	1.0	1.0	Female
anju	0.0	30.0	30.0	0.0	1.0	1.0	Female
anjuli	0.0	20.0	20.0	0.0	1.0	1.0	Female
anka	0.0	65.0	65.0	0.0	1.0	1.0	Female
anke	0.0	21.0	21.0	0.0	1.0	1.0	Female
anli	129.0	0.0	129.0	1.0	0.0	1.0	Male
anlia	0.0	32.0	32.0	0.0	1.0	1.0	Female
anliati	0.0	23.0	23.0	0.0	1.0	1.0	Female
anlya	0.0	22.0	22.0	0.0	1.0	1.0	Female
anmar	28.0	0.0	28.0	1.0	0.0	1.0	Male
ann	0.0	598.0	598.0	0.0	1.0	1.0	Female
ann-ael	0.0	24.0	24.0	0.0	1.0	1.0	Female
ann-charlotte	0.0	31.0	31.0	0.0	1.0	1.0	Female
ann-gaelle	0.0	32.0	32.0	0.0	1.0	1.0	Female
ann-laure	0.0	52.0	52.0	0.0	1.0	1.0	Female
ann-lise	0.0	23.0	23.0	0.0	1.0	1.0	Female
ann-sophie	0.0	94.0	94.0	0.0	1.0	1.0	Female
anna	0.0	124094.0	124094.0	0.0	1.0	1.0	Female
